[mov call sub], 31
[call sub lea], 1
[sub lea call], 1
[lea call lea], 39
[call lea call], 30
[call lea add], 3
[lea add jmp], 1
[mov mov mov], 173
[mov mov push], 11
[mov push push], 8
[push push push], 36
[push push mov], 4
[push mov call], 19
[call sub mov], 23
[sub mov lea], 6
[mov lea mov], 60
[lea mov call], 68
[mov call xor], 16
[call xor mov], 16
[xor mov mov], 38
[mov mov call], 94
[mov call add], 2
[call add pop], 8
[add pop pop], 12
[pop pop pop], 36
[pop pop retn], 12
[push push lea], 8
[push lea mov], 8
[sub mov xor], 11
[mov xor mov], 34
[mov mov xor], 15
[xor mov lea], 7
[mov lea call], 48
[lea call xor], 14
[call xor lea], 11
[xor lea xor], 5
[lea xor mov], 9
[xor mov call], 18
[mov call lea], 26
[call lea xor], 6
[lea xor xor], 4
[xor xor lea], 3
[xor lea mov], 24
[mov call test], 34
[call test js], 4
[test js mov], 4
[js mov call], 1
[mov call mov], 92
[call mov lea], 51
[mov lea lea], 25
[lea lea mov], 5
[lea call mov], 47
[call mov mov], 59
[mov call jmp], 4
[call jmp lea], 4
[jmp lea call], 4
[call mov call], 11
[lea mov lea], 20
[mov call xorps], 1
[call xorps movups], 2
[xorps movups movups], 2
[movups movups movups], 68
[movups movups call], 23
[movups call lea], 9
[call lea mov], 25
[lea mov mov], 33
[mov mov lea], 29
[lea mov add], 3
[mov add lea], 1
[add lea lea], 1
[lea lea call], 17
[call lea shr], 1
[lea shr mov], 1
[shr mov mov], 1
[call mov xor], 21
[mov xor call], 16
[xor call mov], 9
[call mov add], 7
[mov add pop], 21
[lea lea lea], 14
[lea lea movups], 9
[lea movups movups], 19
[movups call mov], 9
[movups call movups], 1
[call movups movups], 9
[movups movups add], 1
[movups add retn], 1
[mov xor lea], 8
[lea mov xor], 6
[mov call cmp], 2
[call cmp jnz], 3
[cmp jnz lea], 7
[jnz lea call], 18
[xor call add], 5
[add pop retn], 20
[mov push mov], 11
[sub mov mov], 8
[lea call call], 3
[call call mov], 5
[call mov test], 11
[mov test jnz], 10
[test jnz lea], 17
[jnz lea mov], 2
[add pop jmp], 1
[pop jmp mov], 1
[jmp mov lea], 9
[mov lea xor], 4
[xor xor mov], 3
[mov test jz], 12
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 11
[jnz mov call], 4
[mov mov add], 11
[call test mov], 2
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
