[call lea pop], 1
[lea pop lfence], 1
[pop lfence jmp], 28
[mov mov push], 12
[mov push push], 9
[push push push], 44
[push push mov], 6
[push mov call], 15
[mov call sub], 23
[call sub call], 17
[sub call mov], 10
[call mov lea], 28
[mov lea mov], 66
[lea mov mov], 24
[mov mov call], 18
[mov call mov], 35
[call mov mov], 27
[mov mov mov], 109
[mov mov lfence], 109
[mov lfence mov], 167
[lfence mov lfence], 113
[mov lfence call], 157
[lfence call test], 22
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 22
[pop lfence pop], 76
[lfence pop lfence], 76
[lea mov call], 53
[mov call xor], 6
[call xor mov], 12
[xor mov mov], 21
[lfence call add], 3
[call add pop], 5
[lfence call mov], 93
[call mov call], 5
[mov push mov], 8
[call mov lfence], 99
[mov lfence lea], 43
[lfence lea mov], 24
[lea mov xor], 5
[mov xor mov], 23
[xor mov lea], 2
[mov lea xor], 4
[lea xor xor], 1
[xor xor mov], 3
[xor mov lfence], 17
[call test js], 3
[test js mov], 4
[js mov mov], 1
[mov lfence nop], 1
[lfence nop cmp], 1
[nop cmp lfence], 2
[cmp lfence lea], 2
[lfence lea jnz], 2
[lea jnz lea], 2
[jnz lea mov], 9
[mov lfence add], 11
[lfence add pop], 11
[lfence jmp lea], 1
[jmp lea call], 2
[lea call mov], 41
[lfence mov mov], 66
[call mov test], 42
[mov test jnz], 43
[test jnz lea], 49
[lea mov lfence], 36
[lfence jmp mov], 4
[jmp mov lfence], 16
[mov lfence xor], 27
[lfence xor mov], 21
[xor mov xor], 8
[mov mov xor], 6
[mov lfence test], 23
[lfence test jz], 20
[test jz test], 2
[jz test jnz], 1
[test jnz mov], 8
[jnz mov mov], 12
[mov lea call], 31
[lea call lea], 14
[call lea mov], 15
[mov mov lea], 24
[mov push lea], 2
[push lea mov], 8
[call sub mov], 4
[sub mov lfence], 4
[xor mov call], 9
[call xor lea], 8
[xor lea mov], 15
[mov call lea], 17
[call lea call], 5
[lea call xor], 11
[mov call movups], 3
[call movups lfence], 24
[movups lfence mov], 46
[lfence mov movaps], 1
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 8
[movups movups mov], 5
[movups mov lfence], 25
[lfence call lea], 6
[lea mov nop], 2
[mov nop cmp], 1
[jnz lea lea], 1
[lea lea lea], 3
[lea lea call], 5
[lea mov lea], 15
[lfence mov lea], 10
[lfence call cmp], 4
[call cmp jnz], 1
[cmp jnz lea], 2
[jnz lea nop], 9
[lea nop call], 10
[nop call mov], 6
[lfence xor call], 5
[xor call lea], 3
[lfence mov pop], 5
[mov pop lfence], 5
[push push lea], 7
[sub call xor], 6
[lea mov movups], 13
[mov movups lfence], 25
[lfence mov movups], 7
[mov movups movups], 21
[movups movups lfence], 20
[movups lfence movups], 97
[lfence movups mov], 16
[mov mov test], 9
[jnz lea call], 36
[call lea movups], 14
[lea movups lfence], 17
[lfence movups lfence], 62
[mov lfence movups], 20
[lfence movups psrldq], 5
[movups psrldq movq], 14
[psrldq movq movups], 12
[movq movups psrldq], 6
[psrldq movq mov], 7
[movq mov lea], 6
[mov lea imul], 6
[lea imul movups], 5
[imul movups add], 5
[movups add call], 5
[add call mov], 16
[lfence lea cmp], 3
[lea cmp jnz], 14
[cmp jnz mov], 22
[jnz mov lea], 10
[mov call imul], 10
[call imul movups], 14
[imul movups lfence], 14
[lfence mov movq], 14
[mov movq mov], 15
[movq mov movups], 11
[movups movups call], 13
[movups call test], 11
[call test jz], 26
[test jz mov], 62
[jz mov mov], 28
[lfence call movups], 13
[movups lfence movdqa], 8
[lfence movdqa movq], 9
[movdqa movq movups], 5
[movq movups lfence], 10
[movups lfence psrldq], 6
[lfence psrldq movq], 7
[psrldq movq movq], 12
[movq movq movdqa], 10
[movq movdqa psrldq], 12
[movdqa psrldq movq], 14
[psrldq movq lea], 8
[movq lea mov], 7
[lea mov imul], 13
[mov imul lea], 11
[imul lea add], 11
[lea add call], 11
[nop call lea], 3
[call lea cmp], 10
[add call xor], 3
[mov mov movups], 14
[mov movups mov], 11
[movups mov movups], 6
[lea call nop], 6
[call nop mov], 6
[nop mov lfence], 9
[add call movups], 6
[lea mov movq], 1
[mov movq movups], 1
[mov lfence psrldq], 2
[mov mov movq], 1
[movq mov mov], 4
[mov test jz], 17
[test jz nop], 3
[jz nop cmp], 2
[nop cmp ja], 1
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd lfence], 2
[movsd lfence call], 2
[lfence call movsd], 3
[call movsd lfence], 4
[movsd lfence xor], 3
[lfence xor comisd], 2
[xor comisd jb], 2
[comisd jb subsd], 2
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 2
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 6
[mov lea cmp], 2
[lea cmp lfence], 2
[cmp lfence jnz], 11
[lfence jnz mov], 4
[jnz mov lfence], 8
[mov lfence imul], 2
[lfence imul lfence], 1
[imul lfence movups], 2
[mov lfence movq], 2
[lfence movq movups], 1
[movq movups movups], 1
[movups call mov], 2
[jz mov lfence], 25
[lfence movups movups], 14
[movups movups jmp], 2
[movups jmp mov], 2
[jmp mov mov], 6
[mov lfence dec], 1
[lfence dec mov], 1
[dec mov lfence], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov mov inc], 3
[mov inc cmp], 1
[inc cmp lfence], 8
[mov inc lea], 1
[inc lea call], 1
[lea call movups], 3
[movups movups lea], 1
[movups lea test], 1
[lea test jz], 1
[sub call movzx], 1
[call movzx xor], 1
[movzx xor lea], 1
[lfence mov inc], 4
[mov inc lfence], 3
[inc lfence mov], 2
[jz mov lea], 10
[lea xor mov], 1
[lfence movups movsd], 15
[movups movsd lfence], 15
[movsd lfence mov], 8
[mov lfence movsd], 9
[lfence movsd test], 2
[movsd test jnz], 2
[mov mov jmp], 3
[mov jmp mov], 4
[lfence test jnz], 5
[test jnz xor], 1
[jnz xor add], 1
[xor add pop], 2
[lfence mov xor], 2
[xor mov test], 3
[jz mov jmp], 1
[lfence mov add], 1
[mov add pop], 9
[jz test jz], 3
[call mov movups], 1
[lfence mov movsd], 2
[mov movsd nop], 1
[movsd nop inc], 1
[nop inc cmp], 5
[lfence jnz test], 1
[jnz test jz], 3
[test jz movzx], 2
[jz movzx lfence], 1
[movzx lfence cmp], 3
[lfence cmp jz], 2
[cmp jz cmp], 4
[jz cmp jz], 4
[cmp jz mov], 4
[mov call nop], 1
[call nop inc], 1
[lfence jnz xor], 2
[jnz xor mov], 1
[jz nop movzx], 1
[nop movzx lfence], 1
[movzx lfence lea], 1
[mov lfence inc], 2
[lfence inc mov], 2
[inc mov lfence], 2
[inc lfence cmp], 1
[lfence cmp jb], 1
[cmp jb lea], 1
[jb lea mov], 1
[lfence jmp xorps], 1
[jmp xorps xor], 1
[xorps xor movups], 2
[xor movups movups], 3
[movups mov mov], 2
[mov mov add], 4
[call sub movaps], 2
[sub movaps movaps], 2
[movaps movaps mov], 1
[movaps mov lfence], 1
[mov lea movups], 4
[lea movups mov], 1
[mov jmp xor], 1
[jmp xor mov], 1
[mov lfence xorps], 1
[lfence xorps movdqu], 1
[xorps movdqu mov], 1
[movdqu mov mov], 1
[mov mov nop], 3
[mov nop inc], 3
[lfence jnz lea], 4
[movups lfence movq], 6
[lfence movq test], 2
[movq test jz], 3
[mov call movsd], 1
[xor mov movsd], 1
[mov movsd movups], 1
[movsd movups movups], 1
[movups movups cmp], 1
