[lea pop lfence], 1
[pop lfence jmp], 36
[sub lea call], 1
[lea call lea], 35
[call lea call], 25
[call lea add], 3
[lea add jmp], 1
[mov mov mov], 102
[mov mov push], 11
[mov push push], 7
[push push push], 30
[push push sub], 3
[push sub mov], 13
[sub mov lea], 4
[mov lea mov], 48
[lea mov call], 49
[mov call xor], 13
[call xor mov], 15
[xor mov mov], 30
[mov mov lfence], 79
[mov lfence mov], 64
[lfence mov lfence], 38
[mov lfence call], 91
[lfence call add], 2
[call add pop], 8
[add pop lfence], 27
[pop lfence pop], 63
[lfence pop lfence], 67
[push push lea], 6
[push lea sub], 7
[lea sub mov], 7
[sub mov lfence], 12
[mov lfence xor], 27
[lfence xor mov], 15
[mov mov xor], 9
[mov xor mov], 15
[xor mov lea], 6
[mov lea call], 37
[lea call xor], 13
[call xor lea], 15
[xor lea xor], 2
[lea xor mov], 5
[xor mov call], 11
[mov call lea], 19
[call lea xor], 4
[lea xor xor], 3
[xor xor lea], 2
[xor lea mov], 28
[lea mov lfence], 19
[lfence call test], 26
[call test js], 1
[test js mov], 1
[js mov lfence], 1
[lfence call mov], 34
[call mov lfence], 57
[mov lfence lea], 24
[lfence lea lea], 4
[lea lea mov], 12
[lea call mov], 45
[lfence call jmp], 1
[call jmp lea], 3
[jmp lea nop], 1
[lea nop call], 5
[nop call xor], 1
[mov call mov], 70
[call mov call], 9
[call mov lea], 41
[lea mov lea], 24
[mov call xorps], 3
[call xorps movups], 2
[xorps movups movups], 2
[movups movups movups], 20
[movups movups mov], 2
[movups mov lfence], 3
[lfence call lea], 9
[call lea mov], 31
[lea mov mov], 43
[mov mov lea], 23
[lea mov add], 2
[mov add lea], 1
[add lea lea], 1
[lea lea call], 14
[call lea shr], 1
[lea shr mov], 1
[shr mov mov], 1
[lfence xor call], 10
[xor call mov], 9
[mov lfence add], 16
[lfence add pop], 16
[mov lea lea], 23
[lea lea lea], 10
[lea lea movups], 6
[lea movups lfence], 14
[movups lfence movups], 61
[lfence movups movups], 29
[movups movups lfence], 24
[lfence movups call], 16
[movups call mov], 7
[movups call movups], 1
[call movups lfence], 9
[lfence movups add], 1
[movups add pop], 1
[mov xor lea], 8
[lea mov xor], 6
[lfence call cmp], 8
[call cmp jnz], 3
[cmp jnz lea], 7
[jnz lea nop], 5
[nop call mov], 3
[call mov mov], 41
[xor call add], 4
[mov push sub], 14
[sub mov mov], 6
[call mov test], 6
[mov test jnz], 8
[test jnz lea], 17
[jnz lea mov], 3
[lfence jmp mov], 2
[jmp mov lea], 4
[mov lea xor], 3
[xor xor mov], 3
[call mov xor], 9
[lfence lea mov], 15
[mov lfence test], 4
[lfence test jz], 5
[test jz xchg], 1
[jz xchg test], 1
[xchg test jnz], 2
[test jnz mov], 11
[jnz mov mov], 12
[mov mov sub], 1
[mov sub lea], 1
[sub lea xor], 1
[mov call add], 1
[lfence call xor], 4
[mov lea lfence], 3
[lea lfence call], 3
[call test jnz], 20
[jnz lea call], 15
[imul lfence add], 2
[lfence add lfence], 2
[add lfence mov], 1
[lfence mov pop], 3
[mov pop lfence], 3
[mov lfence dec], 2
[lfence dec imul], 1
[dec imul lfence], 1
[add lfence pop], 1
[push sub xor], 3
[sub xor mov], 3
[mov mov test], 5
[mov test jz], 8
[test jz cmp], 5
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 2
[mov and shr], 2
[and shr or], 2
[shr or cvtsi2sd], 2
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd lfence], 2
[movsd lfence call], 2
[lfence call movsd], 2
[call movsd lfence], 2
[movsd lfence xor], 2
[lfence xor comisd], 2
[xor comisd jb], 2
[comisd jb subsd], 2
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 1
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 2
[sub mov xor], 1
[xor mov lfence], 7
[test jz mov], 13
[jz mov lfence], 5
[xor cmp lfence], 2
[cmp lfence setz], 1
[lfence setz pop], 1
[setz pop lfence], 1
[lfence mov mov], 19
[lfence xor dec], 1
[xor dec imul], 1
[dec imul add], 1
[imul add lfence], 1
[add lfence call], 1
[lfence call dec], 1
[call dec lfence], 1
[dec lfence add], 1
[mov lea cmp], 1
[lea cmp lfence], 1
[cmp lfence jnz], 4
[lfence jnz mov], 2
[jnz mov lfence], 4
[cvttsd2si add imul], 1
[add imul mov], 1
[lfence mov imul], 1
[mov imul lfence], 1
[imul lfence mov], 1
[lfence call movups], 1
[lfence movups lfence], 12
[movups movups jmp], 2
[movups jmp mov], 2
[jmp mov mov], 3
[lfence dec mov], 1
[dec mov lfence], 1
[mov lfence imul], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov lfence pop], 2
[mov lfence movzx], 1
[lfence movzx lfence], 1
[movzx lfence pop], 1
[push sub xorps], 2
[sub xorps xor], 1
